epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.50783,1.76114,2.01194,1.01968,0.74911,0.63036,0.64573,0.25521,2.08493,4.26453,1.16906,0.00056,0.00056,0.00056
2,12.2692,1.92214,1.50089,1.05924,0.26656,0.66007,0.25374,0.08909,1.74744,9.30645,1.03111,0.00112871,0.00112871,0.00112871
3,17.9084,1.7704,1.57671,1.08448,0.61719,0.81942,0.58723,0.29653,1.52061,3.92052,1.01882,0.00168594,0.00168594,0.00168594
4,23.6133,3.00623,1.55584,1.64983,9e-05,0.0033,4e-05,2e-05,5.06581,88215.2,74.36,0.0019406,0.0019406,0.0019406
5,29.2016,2.41322,2.76288,1.19078,0.01156,0.08251,0.00365,0.00124,3.50161,216.552,7.12574,0.0019208,0.0019208,0.0019208
6,34.7684,2.20116,2.33646,1.18495,0.00969,0.25743,0.00591,0.00259,2.97301,2016.17,3.05272,0.001901,0.001901,0.001901
7,40.3441,2.17413,1.76601,1.20859,0.00055,0.0132,0.00028,8e-05,2.81485,121275,246.341,0.0018812,0.0018812,0.0018812
8,45.8805,2.21874,1.49628,1.16975,0,0,0,0,3.07066,690.424,5.05264,0.0018614,0.0018614,0.0018614
9,51.5179,2.19057,1.6054,1.19359,0.0487,0.033,0.01182,0.00483,3.21862,7.53735,6.62525,0.0018416,0.0018416,0.0018416
10,57.0511,2.14257,1.19715,1.17072,0.54339,0.07591,0.091,0.03653,3.50878,5.77099,7.78462,0.0018218,0.0018218,0.0018218
11,62.6576,2.00764,1.17826,1.15291,0.62868,0.08581,0.09405,0.05329,3.06338,8.13704,49.1194,0.001802,0.001802,0.001802
12,68.3049,1.80067,1.12041,1.07093,0.06133,0.19142,0.01669,0.00883,2.50377,14.6034,9.27889,0.0017822,0.0017822,0.0017822
13,73.8709,1.81147,0.95488,1.03638,0.27342,0.52475,0.17202,0.08841,1.84515,2.4292,2.91169,0.0017624,0.0017624,0.0017624
14,79.4515,1.91052,0.96028,1.06657,0.83763,0.46865,0.50284,0.2419,2.01419,1.50157,3.06714,0.0017426,0.0017426,0.0017426
15,85.0312,1.76712,0.91051,1.04946,0.89548,0.32013,0.34786,0.15875,2.62052,2.76408,4.25761,0.0017228,0.0017228,0.0017228
16,90.5981,1.77885,0.91152,1.03984,0.79747,0.49835,0.56233,0.26173,2.2425,1.6341,1.99713,0.001703,0.001703,0.001703
17,96.2226,1.73632,0.89685,1.07053,0.87975,0.66337,0.75496,0.37288,1.64423,0.93756,1.09029,0.0016832,0.0016832,0.0016832
18,101.872,1.67062,0.81622,1.0318,0.86322,0.73597,0.79198,0.39368,1.66133,0.94037,1.15496,0.0016634,0.0016634,0.0016634
19,107.491,1.75032,0.82234,1.01241,0.90471,0.83168,0.91094,0.43831,1.68241,0.83748,1.02076,0.0016436,0.0016436,0.0016436
20,113.125,1.60889,0.77449,0.9997,0.88851,0.76898,0.81316,0.44669,1.48297,0.90065,1.00978,0.0016238,0.0016238,0.0016238
21,118.696,1.57321,0.78505,0.97527,0.88416,0.82508,0.86858,0.48057,1.47728,0.89211,0.97674,0.001604,0.001604,0.001604
22,124.319,1.66973,0.80707,0.97075,0.91574,0.83498,0.86356,0.44078,1.65779,0.89629,1.02003,0.0015842,0.0015842,0.0015842
23,129.961,1.52046,0.74235,0.97815,0.95801,0.90352,0.93977,0.54624,1.43079,0.70229,0.93783,0.0015644,0.0015644,0.0015644
24,135.633,1.58338,0.72496,0.96432,0.9746,0.9637,0.98291,0.58497,1.32115,0.65248,0.90909,0.0015446,0.0015446,0.0015446
25,141.309,1.51892,0.71777,0.98024,0.94587,0.9571,0.97983,0.56371,1.36386,0.70477,0.91698,0.0015248,0.0015248,0.0015248
26,146.863,1.45214,0.71493,0.96914,0.95378,0.95356,0.97512,0.59761,1.33597,0.67705,0.91105,0.001505,0.001505,0.001505
27,152.47,1.50148,0.7187,0.97564,0.95763,0.96976,0.98672,0.6106,1.33359,0.65785,0.91346,0.0014852,0.0014852,0.0014852
28,158.102,1.51115,0.70585,0.93939,0.95358,0.88132,0.93592,0.56472,1.39045,0.76367,0.94123,0.0014654,0.0014654,0.0014654
29,163.666,1.49005,0.6957,0.99022,0.95387,0.91089,0.94243,0.58161,1.2867,0.70132,0.91156,0.0014456,0.0014456,0.0014456
30,169.242,1.41983,0.65775,0.95574,0.96633,0.93399,0.95626,0.55936,1.3562,0.69554,0.9195,0.0014258,0.0014258,0.0014258
31,174.985,1.4571,0.66388,0.93519,0.97429,0.94719,0.98248,0.5765,1.28146,0.65593,0.90245,0.001406,0.001406,0.001406
32,180.555,1.53037,0.68699,0.96299,0.94758,0.9802,0.97868,0.51528,1.45222,0.69411,0.93248,0.0013862,0.0013862,0.0013862
33,186.155,1.4871,0.68091,0.96138,0.96459,0.98901,0.98831,0.56574,1.29629,0.64614,0.89809,0.0013664,0.0013664,0.0013664
34,191.705,1.68517,0.73228,1.00361,0.9737,0.97739,0.98965,0.57668,1.32469,0.64575,0.9044,0.0013466,0.0013466,0.0013466
35,197.284,1.51646,0.67355,0.95684,0.97588,0.9868,0.98979,0.56545,1.30318,0.64489,0.89893,0.0013268,0.0013268,0.0013268
36,202.966,1.49381,0.66034,0.98444,0.98194,0.9736,0.9892,0.59262,1.27795,0.5893,0.90091,0.001307,0.001307,0.001307
37,208.53,1.45857,0.64599,0.95409,0.97395,0.9802,0.9862,0.60198,1.23888,0.58371,0.8972,0.0012872,0.0012872,0.0012872
38,214.066,1.45486,0.67324,0.93835,0.97053,0.9802,0.98079,0.58537,1.2884,0.59148,0.90116,0.0012674,0.0012674,0.0012674
39,219.654,1.41515,0.66236,0.91813,0.97664,0.9901,0.98802,0.60031,1.30955,0.60442,0.90222,0.0012476,0.0012476,0.0012476
40,225.203,1.36822,0.61249,0.94688,0.9836,0.98974,0.99017,0.61579,1.2891,0.58724,0.89826,0.0012278,0.0012278,0.0012278
41,230.925,1.38579,0.6021,0.92185,0.97713,0.98705,0.98988,0.626,1.2538,0.57144,0.89326,0.001208,0.001208,0.001208
42,236.592,1.35406,0.60495,0.92752,0.9776,0.9868,0.99104,0.60873,1.34666,0.58569,0.91009,0.0011882,0.0011882,0.0011882
43,242.17,1.36007,0.61892,0.93418,0.97648,0.9868,0.99031,0.62404,1.29309,0.58105,0.8991,0.0011684,0.0011684,0.0011684
44,247.76,1.29559,0.61089,0.93413,0.96816,0.9901,0.98975,0.62214,1.24186,0.6005,0.88367,0.0011486,0.0011486,0.0011486
45,253.337,1.42412,0.64505,0.93577,0.97087,0.98988,0.98993,0.59923,1.25289,0.65406,0.88933,0.0011288,0.0011288,0.0011288
46,258.881,1.41047,0.63876,0.92242,0.97217,0.9934,0.98823,0.59521,1.27931,0.62278,0.89196,0.001109,0.001109,0.001109
47,264.57,1.35665,0.62612,0.94427,0.96775,0.9903,0.98829,0.59885,1.2698,0.60617,0.89122,0.0010892,0.0010892,0.0010892
48,270.255,1.41891,0.63098,0.91628,0.97084,0.98896,0.98861,0.59619,1.2667,0.59541,0.88918,0.0010694,0.0010694,0.0010694
49,275.763,1.39488,0.6143,0.92324,0.97024,0.9901,0.98654,0.56881,1.34798,0.60481,0.91165,0.0010496,0.0010496,0.0010496
